# parse from https://lhncbc.nlm.nih.gov/LSG/Projects/lvg/current/docs/designDoc/UDF/derivations/suffixList.html
Suffix
able
ably
ad
ade
age
agogy
al
ality
an
ance
ancy
ant
ar
arch
archy
ard
arium
ary
asia
ate
athlon
ation
ative
atory
bound
cele
centesis
cephalic
chondrion
cide
city
coel
coele
cy
cycle
dom
ectasia
ectasis
ectomy
ed
ee
eer
eme
emia
en
ence
enchyma
ency
ent
eous
er
ergy
ern
ery
esce
ese
esque
ess
esthesia
esthesis
eth
etic
ette
fare
ful
fy
gate
gnosis
gon
gram
graph
gry
hedron
holic
hood
ia
iable
ial
ian
iant
iary
iasis
iate
ible
ibly
ic
ical
ics
id
iency
ient
ier
ify
ile
illion
ing
ion
ious
isation
ise
ish
ism
ist
ista
ite
itis
itive
itude
ity
ium
ive
ization
ize
izzle
kinesis
less
let
like
ling
ly
man
mancy
mania
ment
meter
metry
mony
morphism
most
ness
nik
ocracy
ogram
ography
oid
ologist
ology
oma
ome
omics
onomy
onym
opsy
or
ory
ose
osis
our
ous
phagia
phagy
philia
phobia
phone
physeal
phyte
polis
s
science
scope
script
ship
sion
sis
some
stan
ster
t
th
tion
tom
tome
tropism
ty
uary
ular
ulent
um
uous
ure
us
ville
vore
vorous
ward
wards
ware
ways
wise
wright
y
